word_lower	word_cap	alt_caps	examples	source	status	notes
birbeck	Birbeck		?Birbeck granule deficiency	OMIM	cap	
birk	Birk		Birk-Landau-Perez syndrome; Halperin-Birk syndrome; Birk-Barel syndrome	OMIM	cap	
birt	Birt		Birt-Hogg-Dube syndrome 2; Birt-Hogg-Dube syndrome	OMIM	cap	
birth	Birth		Birth weight QTL 3; Birth weight QTL 2; Birth weight QTL4	OMIM	lower	
bixler	Bixler		Antley-Bixler syndrome with genital anomalies and disorde...; Antley-Bixler syndrome without genital anomalies or disor...	OMIM	cap	
bjornsson	Bjornsson		Pilarowski-Bjornsson syndrome	OMIM	cap	
bjornstad	Bjornstad		Bjornstad syndrome	OMIM	cap	
blackfan	Blackfan		Diamond-Blackfan anemia 7; Diamond-Blackfan anemia 6; Diamond-Blackfan anemia 17	OMIM	cap	
bladder	Bladder		Bladder cancer, somatic; Bladder dysfunction, autonomic, with impaired pupillary r...	OMIM	lower	
blau	Blau		Blau syndrome	OMIM	cap	
bleeding	Bleeding		Bleeding disorder, platelet-type, 22; Bleeding disorder, east Texas type; Bleeding disorder, platelet-type, 8	OMIM	lower	
blepharocheilodontic	Blepharocheilodontic		Blepharocheilodontic syndrome 2; Blepharocheilodontic syndrome 1	OMIM	lower	
blepharophimosis	Blepharophimosis		Blepharophimosis, epicanthus inversus, and ptosis, types ...; Blepharophimosis-impaired intellectual development syndrome	OMIM	lower	
blepharospasm	Blepharospasm		Blepharospasm, primary benign	OMIM	lower	
blistering	Blistering		Blistering, acantholytic, of oral and laryngeal mucosa	OMIM	lower	
blizzard	Blizzard		Johanson-Blizzard syndrome	OMIM	lower	common word, handle deviations with pattern
blok	Blok		Snijders Blok-Fisher syndrome; Snijders Blok-Campeau syndrome; Intellectual developmental disorder, X-linked syndromic, ...	OMIM	cap	
blomstrand	Blomstrand		Chondrodysplasia, Blomstrand type	OMIM	cap	
blood	Blood		Blood group, Vel system; Blood group, RH system; Blood group, Scianna system	OMIM	lower	
bloom	Bloom		Bloom syndrome	OMIM	cap	may need to allow lowercase = common word; not yet aware of any common use
blue	Blue		Blue cone monochromacy	OMIM	lower	
bodmer	Bodmer		Vissers-Bodmer syndrome	OMIM	cap	
body	Body		Body mass index QTL13; Body mass index QTL3; Body mass index QTL1	OMIM	lower	
boer	Boer		den Hoed-de Boer-Voisin syndrome	OMIM	cap	
bohring	Bohring		Bohring-Opitz syndrome	OMIM	cap	
boltshauser	Boltshauser		Poretti-Boltshauser syndrome	OMIM	cap	
bombay	Bombay		Bombay phenotype, digenic; Bombay phenotype	OMIM	cap	
bone	Bone		Bone mineral density QTL 3; Bone mineral density QTL 14; Bone marrow failure syndrome 4	OMIM	lower	
bonni	Bonni		Ferguson-Bonni neurodevelopmental syndrome	OMIM	cap	
boomerang	Boomerang		Boomerang dysplasia	OMIM	lower	
boonstra	Boonstra		Bosch-Boonstra-Schaaf optic atrophy syndrome	OMIM	cap	
